"","start","end","deviceid","consensus_note","region","district","settlement","settlement_other","idp_settlement","idp_settlement_name","resp_gender","resp_age","guardian_present","breadwinner","household_expenditure","household_expenditure/father","household_expenditure/mother","household_expenditure/adult_male","household_expenditure/adult_female","household_expenditure/male_14_17","household_expenditure/female_14_17","household_expenditure/male_13","household_expenditure/female_13","hh_ids","hh_children","males_0_6m","females_0_6m","males_6m_4y","females_6m_4y","males_5_12","females_5_12","males_13_15","females_13_15","males_16_17","females_16_17","males_18_40","females_18_40","males_41_59","females_41_59","males_60_over","females_60_over","total_hh","children_vaccine_age","children_0_4","school_age_male","school_age_female","school_age_total","total_children","total_hh_confirm","person_with_disabilities","no_difficulty","minor_difficulties","some_difficulties","a_lot","cannot_carry","plw","chronic","yes_no_host","hosting_idp","yes_no_idp","yes_no_returnee","region_idp","district_idp","settlement_idp","settlement_idp_other","returnee_country","returnee_country_other","returnee_area","returnee_area_other","returnee_settlement","returnee_settlement_other","registered_return","refugee","country_origin","left_aoo","arrived_current","difference_arrived_today_days","difference_arrived_left_days","locations_lived","disp_why1","disp_why2","dest_loc_why1","dest_loc_why2","returnee_remain_here","when_continue","region_intended","district_intended","settlement_intended","settlement_intended_other","separated_members","separated_boys","separated_girls","separated_male_assets","separated_female_assets","separated_male_other","separated_female_other","separated_reasons","separated_reasons_other","primary_degree","secondary_degree","vocational_degree","tertiary_degree","enrolled_boys_5_12","enrolled_girls_5_12","enrolled_boys_13_17","enrolled_girls_13_17","boys_enrolled","girls_enrolled","enrolled_total","not_enrolled_total","attend_boys_5_12","attend_girls_5_12","attend_boys_13_17","attend_girls_13_17","boys_attend","girls_attend","attend_total","not_attend_total","attend_previous","time_school","access_school","school_barrier_first","school_barrier_second","school_barrier_third","school_barrier_other","cash_education","cash_education_other","uuid"
"1","2019-06-04T10:47:07+0300","2019-06-04T11:05:38+0300","deviceID00000010","yes","bakool","baki","h","isKslYxEFHYHYLVlXGQrpGGEgaqVcGxQqfv","no","UREBVhcPoOSoVooAwSDMBygcvyysWNToEAvqKtZLDkwL","male","age86_90","no","male_14_17","mother adult_female female_14_17",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"no","yes",20,19,20,17,21,21,19,22,19,22,17,17,19,21,22,17,313,120,76,59,65,124,200,"yes","yes",17,22,21,21,22,"no","no","yes","yes","yes","no","bakool","ceel_barde","k","IdMcxoUYtqR HiOc ng eddOKSzAQxXPxCSmnhoXXeeQZgMTRdbhJrjNDxJPFniDDHHSaVoFkuX","yemen","jgwsbzTwZABYPJxoSYAJRrFoCrzXahMteSjkFbPSSKbalzPOwYzODFipoBmSeXacBoaFNjnGdvtoderdivPjkJNdLrPXP","jijiga","nieGOBbCmjIClKUKEJOtnBfsLiIvCylbuqJZuBEUOuzfuKaolDLzFd GmKYHYxfEGafvxawuIfASEnN RJhDDgvBMIv","dagahaley","USrAbjgdphgHOdmbOzgNmBJSneRQVZRBpjADSvmvKFhmdaJVfkLBtrJXs","yes","no","yqlExDLCoMMgxexBylECdZoVK ldnQivdgTThJu wkmRHLxkzDhPsOeYxCxhUrOaOcmKdSYWQeIExERdP","2019-06-04T10:51:44+0300","2019-06-04T11:36:51+0300",NA,NA,20,"lack_water","conflict_surrounding","no_conflict","health_ser","dontknow","next_month","bakool","borama","a","YlnuOMElLrOztpInFFiwchtPN nihmGyqHKGvued JIroUGoVWoNkxnBUUhfIUiaSkRDtEcAphUQDcojYpm","yes",18,21,24,22,19,21,"drought","GuzBoQXIyKsdlEyCSmBuuZh HZPaRYmPMjzUFsNSrXqJsZbGfDOEEQjWJBMQyifAcyVbTvWkqxiWJSYVIylCntsB",22,21,17,22,18,22,20,18,38,40,78,46,22,22,20,25,42,47,89,35,"none","under15","yes","not_safe","cannot_go","no_school","VLgraIFreelNlERGXpjiuzvFYxNslAaJkMDaXQrDIMoVaYqxIPyqPw ","cash","avHMdCiRjjFiScliUGOGBhOeoJSaQBXRdxiPzFOyzqdwuaIIDdiWnznFrSfDionyxyUyGMVNWFvHnnbXpnH","7ce486d2-61e8-4a424b-848885-7f02b4a9615c"
"2","2019-06-04T11:09:46+0300","2019-06-04T13:01:27+0300","deviceID00000009","no","awdal","borama","e","aUTbclposxoqQluIOOweIZSHfS","no","TeFSQYsdckVCGJGofliwnuxUvXXNgVLxWUVxhoosVPglwUnzTLYyYCNWajdKYdoUjHjl nefGfgspfmZvhJLhlqF","female","age91_95","no","male_13","father adult_female female_14_17 male_13",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"yes","yes",19,22,16,19,18,17,20,20,18,18,21,20,18,18,19,19,302,110,76,56,55,111,187,"no","yes",22,20,19,14,18,"yes","yes","no","yes","no","yes","bakool","rab_dhuure","k","AujEqyGhMfUAElhUgWSeMEaTwHBiTkHCmAiCWzHXqJATRXbLhQZvLBBGexBWwxfgxUebuzLbVrSOCRddLSyuJflfHeeKg q","egypt","beCIZWnZylRrfavqjCXnWIaMMRV","other","YcIWTFjNPcmMMcdiVGyRoCohZSMvK ChJKWEvvjIEBhJvoBBVwsJHkbpWCZexdAzzMeM","hagadera","YMYVCMRmokqVnXxsBGKTXhWbIqRadTXw","yes","no","KKHebejfTFse xqoCt gtmzPyM","2019-06-04T12:01:00+0300","2019-06-04T11:34:14+0300",NA,NA,20,"eviction","livestock_disease","local_food","no_conflict","return_refugee","next_week","bakool","ceel_barde","d","SsMDnonxiRuecTIVvYBOtjtJQGBPy VHsWfuDCIOnxLorZJDtOfQPix iQyApYgTMsVBRYnmqavXUshPf bXSYYKXuo","no",22,20,16,22,16,16,"drought","P",21,17,21,23,18,17,22,21,40,38,78,33,24,20,18,20,42,40,82,29,"some","60_90","yes","wash","overcrowded","fees","dQDLLRiOecWPyFFYdQDKuSHBzCstlUu","direct","NAbxOPDdjutZcmTJvjaLPdNvvwxWmKkENVaJdPbBwXockhpAjiXoDjU","365fa217-4a5f-4e4940-b4b7b5-91bedaf246c7"
"3","2019-06-04T11:49:00+0300","2019-06-04T12:55:55+0300","deviceID00000007","yes","awdal","baki","c","uIvDhjxaMjdqPqtzzQYh","no","PcMcQfDkhLIwvUqLTkHSFbWQhcMCQZzCUUVGkoMpYpHMysZHKUiyXiKOrvLRUrRwOBYAoQenAvaFfFbgQwcKpFcltoRaRl","female","age76_80","yes","male_13","adult_female male_14_17 female_13",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"no","no",19,20,21,18,19,21,19,15,20,20,23,20,19,22,19,19,314,113,78,58,56,114,192,"no","no",19,20,21,20,18,"yes","no","no","no","yes","yes","awdal","borama","i","nLdcNSVcQMcRNIBinKHPmGcZV sROGGDLYKsSCnRNcGx","egypt","zhekRQPQrExf iMSPALMsOTgLkfPdySfUptTlwimCDzZVvWVCpOU","kakuma","IDaB","sheder","yGNclCgKcJ LNBdoDjJVfc skMcrcfU xMGMOzaSDkfONbHWJeEAldfwf YfUSMBfLkeZFPdVTnQcnL","no","no","lnakdGiccvyodQGKUKzIhMmiQgvRQXsahUSKNhoSMSp","2019-06-04T11:29:49+0300","2019-06-04T12:40:17+0300",NA,NA,21,"livestock_disease","withdrawal_ags","dontknow","cash","elsewhere_somalia","next_month","awdal","rab_dhuure","d","QeoHpifcbSgigYOJUJnycpxIKiBgzw GtuqVcCojTX","yes",16,20,20,19,18,17,"other","AlOcYNWDqv",23,21,23,21,18,23,21,20,39,43,82,32,18,19,18,19,36,38,74,40,"some","31_60","no","other","no_interest","wash","fbbeAPeUn","direct","EgwPqKWxxWbVvsYkoahBhnvPEdst","ed41b839-68ce-4f4d41-a0a3af-87f3c16a4590"
"4","2019-06-04T11:49:02+0300","2019-06-04T12:44:33+0300","deviceID00000003","no","awdal","baki","h","aGWLssWUbDoIoYvuvrFyRDUEnepEZkoUMvmUAYxzHGLko","yes","tjYPEp","female","age26_30","yes","adult_male","mother adult_female male_14_17 female_14_17",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"yes","no",19,20,23,19,19,23,21,20,19,22,20,20,20,20,22,21,328,125,81,59,65,124,205,"no","yes",19,17,19,18,20,"no","yes","no","no","no","no","awdal","rab_dhuure","h","NJhkvDwqP","kenya","r SpbjIuu","other","iDnxEpshVSlOeqbVZghYaCWHE buvMXnELMRujpQVbFsnzdD LEYgVI JUkb","kobe","rNUmTVTYiAfOUxXHTCEmfzBPKlRAkXcwLrcLquDwZUQwXTkmAjYUtdaMyfBiyOhkj","no","yes","FapskaPVWQnIEvhPR iJnzEnaYfJWpWupIilpCrHbhvDxRXbLmINMZemHSOMZYrtM LebrJfpIhEkwMjyxrNhGzv","2019-06-04T12:35:43+0300","2019-06-04T11:21:37+0300",NA,NA,22,"lack_water","lack_water","dontknow","dontknow","elsewhere_country","next_six_months","bakool","ceel_barde","f","Rm zRxWKQtJZDyEiHEFVLeuHmdJlvrsMWTIB QfcJVaCEsVvyvCmRPqnHNbhAkfBekez","yes",16,19,21,20,18,18,"flood","CcZxVRIrwciflkMYbygYzKtPbSIctKBqprVTkTu",20,19,22,19,20,18,21,19,41,37,78,46,20,20,20,22,40,42,82,42,"none","31_60","yes","wash","no_interest","cannot_go","BboExXDCmsjFMszjgbXhdspOslytHDZymJDltuuNVwtgJqtNPxWCqTLUfeMg","cash","bLsAFkPVXDfdyNCFbOYMtgohgisNGaXRJtBvCsNioFgqJgUahjrHxobPVKmeqlpKUGymfdiKklSqOnBjTlTdnhMi","ca34e280-3a56-464247-959b98-3107b94f2ae5"
"5","2019-06-04T11:46:08+0300","2019-06-04T12:22:27+0300","deviceID00000000","yes","awdal","borama","j","NAuqKHiCfoYGKhBOCGvxFJJRRyIGM dstgBOBFoYLOHeBjd TzCAPDLpyUPg sVYoUlwrRFOQFidQrnqchOHrKAiswHmsucSRv","no","VehCOZgBDviZOmMjBNjbFXKsdBDC bkiyLQvSfWJBLsZVVpzgSpzjVjOJqnytNCjxTJ AFjXMKivdknaAgALxLOpPmVuFQwvC","male","age60_65","yes","female_13","mother adult_male male_14_17 female_14_17",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","yes",22,22,23,18,19,22,22,20,25,19,16,21,21,18,21,19,328,124,85,66,61,127,212,"no","no",19,17,20,18,17,"yes","no","no","no","yes","yes","awdal","borama","e","aGmRKeRvfYnjPMQDSJggHcvkeZZUdnYrorwVTicGRIgVfp bEepKPDtp VgbbBLXvJqFNrQZYwRJcVMajXsCoXZmzScBPj SoHlp","ethiopia","TVIY","nairobi","YkfbhXHUxgmjwaf ExbTCWXHAhhUNPVMtE DUUmfNaQmiJViNRmyyOhqFHAQxZGUQSunaBOvycpJytlfQ VcNH","sheder","qdANHySdnTXeZwtNlOZEwTrmrl XWvGVmhwQuMVIgnNFwPx","yes","no","XtxMrdEcTXrmX SATzrnDQYkqswlswHDtWNavXR  bEclUrqWZNlZAHAOe WWfDO z","2019-06-04T12:58:48+0300","2019-06-04T10:54:29+0300",NA,NA,22,"pressure_hc","arrival_ags","local_food","work_income","elsewhere_city","next_six_months","awdal","rab_dhuure","b","AxPKId","no",18,20,21,20,22,21,"other","AYWieMhgP",17,25,18,21,20,17,23,19,43,36,79,48,19,21,21,16,40,37,77,50,"some","91_120","no","cannot_go","registration","no_school","fqfJyhGnnsJklN","cash","TqJFiLZXQeFAJFP pAAvKufJBywWfJPhJnhfWxFXGyhskpPYQnzDExiNjsByEIBLJRPoycaiYgpQBblzcuo","4937508b-e31f-4e474a-8c8f87-61b2ca8d4930"
"6","2019-06-04T12:56:26+0300","2019-06-04T12:49:53+0300","deviceID00000006","yes","awdal","ceel_barde","b","XWSSd oWcMujVQTrC","yes","GCIZosCBNSaIAaBCwsfbFsRtlhHTGGkOLRq mVSyNSBtWKStSVDTrcLtpoiUxvPKNfMltwxgqBeSQ","male","age36_40","yes","female_14_17","father female_14_17 male_13 female_13",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"yes","yes",19,19,18,19,22,22,15,18,17,22,20,18,22,19,17,20,307,114,75,54,62,116,191,"no","no",20,16,19,20,17,"yes","yes","no","yes","yes","no","awdal","rab_dhuure","b","oOdXNpVNvgRLAVlhwXHY T dotAQTYddNTQnkJymjKCQaSRpGhxNnFKGNeyRKWZMsGGAjelbgaIJLojTYRetpHIZU","yemen","sRXPJGvVgIUzby MVeIISklHZqbRB  HHkEWgIjTkLboVYTZnQErIYSBMnkKquBEYOODskeyFMCAKjqFyWfEdfvv","addis_ababa","apnmTzpadEdbpixVjNtVBKhUpaQIshAZIamNBlwIgMyoxIFbKJEKBVLZnMaiupS","ifo"," QFjfFOBAIhJsXBUoKbrglaUThYhvuzkWecGuTXTkQeBmwSkgi t","no","no","eOQaMvfXf aHEILLUc AMSHjweXMTbPRUNw","2019-06-04T13:13:05+0300","2019-06-04T11:24:13+0300",NA,NA,19,"none","lack_job","protection","none","dontknow","next_three_months","bakool","baki","f","rXajIZhCGjasRco FuoSvlCLodxTdAABlJCYEzsAfUpKCbZatmk","yes",18,19,17,21,20,21,"flood","nMANDpiqaceSPJP BdJIrRiZPZUgUvb shRSGjwdFHCwnUkSAZM",19,18,19,21,21,20,20,22,41,42,83,33,22,21,23,17,45,38,83,33,"none","under15","yes","curriculum","no_interest","other","qiHKs","dont_want_support","tXqqUneTLn ZwFpOkoEjNXhfUwScafxmhTYyZgQLUUdueIEViYjQUtYzGeLLVeUWYviJjkKzBSyVnFKaV","643259c8-c1e7-474044-9d9b93-49b30cfe827d"
"7","2019-06-04T11:33:05+0300","2019-06-04T12:18:21+0300","deviceID00000004","yes","awdal","rab_dhuure","c","jgdzQrkmFVYqWjx SyKUgOnxNucvFPYwNVefnFxVDiraeCpiiiHjbhJMNTPPVxKxhfrOFoLz RyFgvPwhPFvWQneRhZClPuuXP","yes","YQaSlZcnkGRLwHZhEFKpowAjUqOGyXStQtmcAKqcBsdkcydTYoKRxb","female","age86_90","yes","father","adult_male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",21,15,18,20,17,20,19,18,16,18,20,12,19,23,21,19,296,112,74,52,56,108,182,"yes","yes",18,18,20,20,19,"yes","yes","no","yes","yes","no","bakool","rab_dhuure","g","nkGKNCXiZCHDZdPtFoWmdAcIlDyTcWplhL","yemen","CMcVVsJSnLqbnRxOOsQaZoFtkXonYPBZuphittOjlWsQMfVIQEJhSVvkRDVSbVPT","addis_ababa","XnXKKaVMMwKcJflirQIuVwUZgczsoKvmpoIvI RwShofsEerCfDvyXbKqfnBPtqm","hilaweyn","RkZVCOsvnTceggLukuvEHAfEDdttJzTGKhehceGnIRNIMLQNjRXIprPakZOwlXLfxjFaNmgseXlYPiBKkdvH","yes","yes","mrCzYy HsDzhZPNMrjFoaJAdhyfNFxr jtEtQvGaOxJOTONnQvHpxheqmXUYtKWVQrWdVGLQrdjWjkEY","2019-06-04T13:14:02+0300","2019-06-04T12:02:30+0300",NA,NA,19,"livestock_disease","threats","none","none","elsewhere_country","next_six_months","awdal","baki","l","aXyLUmqGtFYBuD","yes",21,22,18,20,20,19,"conflict","OLTcLGcULlH jZQrDv",20,18,24,18,18,20,20,22,38,42,80,28,22,18,22,20,44,38,82,26,"some","above180","no","lack_teachers","cannot_go","no_interest","FIJAPaqRDBqXqajEyMnahyCGAaTshelRghhfRZPXZanVSccUfMVHjnluLAcGxHwDrrqSBiQwiAVncGosjhGotr","no_reply","IdJRy","6a4e8f51-53ac-44414f-8b8880-7dc201af6395"
"8","2019-06-04T10:55:40+0300","2019-06-04T13:10:17+0300","deviceID00000006","no","bakool","baki","e","ycsVvPabPekNoiEjAvlKDnSIDvOZPSyOHLATnsoydmbkwZJgKnOPs edRmUdWkRo","yes","twZFdYOePFOwOKVxfopMNBFiLukSXGANteFAaBBLpiLbCvhotkdwqSLwmU EMb","male","age15_17","yes","male_13","adult_male adult_female male_14_17 male_13",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"yes","no",20,21,20,18,19,20,18,22,19,19,17,19,16,21,23,20,312,117,79,56,61,117,196,"yes","no",22,20,22,20,18,"yes","no","yes","yes","no","yes","awdal","borama","l","KQkGFO NCmzSdDzZqfKdcrZdRgeZ UvSGNAHzVaNCgYGzsEPBYPSx","djibouti","JklXaYbfpBPHfJtIS","other","GnLpMlGNJTuyIaoAhcJZriIawNFPnkgLmSgCFcRNtZDQnGspoqGDOjI","hilaweyn","crkBlNyoAAsSDjtFtdQ","yes","no","mvlgLKC iCSnoAcGvZzsIjtgvYqQBPosaTLQeRAyPPnExSkjwYAoTRtWiICEMTUjGXHAQOAtMVrypFLskggEcJZPEVb","2019-06-04T10:47:53+0300","2019-06-04T11:09:36+0300",NA,NA,24,"drought","lack_edu","shelter","family","elsewhere_country","next_three_months","bakool","baki","c","xymnmqEJjGbcbsRbdFptQkIJJaUMDJuOs vJju","yes",19,17,21,19,24,18,"flood","cQnTWjDaAbwwXZncTpzBwhfRWBefBBnDVlseLrmjWyFHdIdnI",19,24,18,22,21,20,17,23,38,43,81,36,23,18,19,23,42,41,83,34,"all","31_60","yes","registration","cannot_go","other","pHSDSaeBAJjyEeReAPKHPbwOCvUxscwNwOdYlOjjBtqZgkJjzgdmLUG","dont_want_support","eGtoUkQlVZQMhmlQAxJgSmCTEDwUSFTVSDVl PlltjElkrePPzNzDjnpdayItiVcXY","d048cb7f-db60-4f4640-939092-d9c76a3efb15"
"9","2019-06-04T10:36:59+0300","2019-06-04T11:01:03+0300","deviceID00000006","yes","bakool","rab_dhuure","f","tfrvqmyjKfsfUZvG","no","bUhLrvRnjoE KYpmhoOkZmPIFpcySnFWAUcoAGIovQKpTUQbwegqNvgpaUxEHNtSqbHLdFszsvGDMhelVXPffUwaVLzTydwUzq","female","age56_59","no","male_13","father male_13",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","yes",20,21,20,23,20,19,18,21,23,19,21,20,24,18,19,19,325,121,84,61,59,120,204,"yes","no",20,20,25,16,19,"no","no","yes","no","yes","no","awdal","rab_dhuure","b","mRBpMmU kWgQoLwAyziAWVieUUKXRNwMljbwU nyCZhAJAnDbwwVZPVjv cgqqsCxvJLFxOoZHUSEC","eritrea","hnLPESREzMuGbjVDBmTHUtNE","addis_ababa","hjMODfEuNszGSkhrIFS iYVJCNQsTpzjrfhqYWWIoiCOEyeJERPXGNBwWOSVvFflhyFBIxcjQar","other","kuKhWxtAmjPFaqJMvhvpPKuWFefIBrucCQ  ospRpxijHosu myCAJzNZunKXHhVccEiKraMjwmJFNKkPUbU","no","yes","DwT","2019-06-04T11:06:09+0300","2019-06-04T12:32:27+0300",NA,NA,21,"lack_food","lack_health","family","shelter","return_refugee","next_month","bakool","rab_dhuure","d","mJo xXdaqlOTdbmKfXRmclONkDMasFIyumKoatfpuFLmH","no",23,20,20,19,22,19,"flood","OvXidcYajktsDm tduDmKYL",24,17,18,17,19,22,20,21,39,43,82,38,22,21,21,21,43,42,85,35,"all","121_180","no","curriculum","no_school","wash","SDSdePbGKOvxwLPdecqoWfEwOKHrhqWdJfwgZj ljTWCu eoNXBfNWIeHcthIpYirtYsxoqSkRTAbWYCoPdfuFXQmeMeU","no_reply","ohdLUhuhCYXobIUOaUSfsUE hPgKkkqzq NAusLVCQyWxCQtSXmkw","b5a0432f-c35e-4e434d-b0b8ba-6fe9a372480d"
"10","2019-06-04T11:42:51+0300","2019-06-04T12:36:33+0300","deviceID00000008","yes","awdal","borama","i","iinRfeYgxDlTGKntFonTSWmt s YRiG","yes","lGCJzvgcgYHGxlyXRAoRIWxenGBGgsnWVxniZHtjTvYYJjRndMhgUDXGbTfUPbSrOKishXcjUnPCPWMPMv","female","age91_95","no","mother","mother adult_male adult_female female_13",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"no","yes",19,17,22,21,21,19,21,23,18,21,20,23,19,20,20,19,323,127,79,60,63,123,202,"no","yes",19,19,19,21,20,"no","yes","yes","yes","no","no","bakool","ceel_barde","d","dnVwFlBzHczAXtkVAYqqpzOfLruolhiHaMRK","egypt","aidqOBVcAeRAFbGtVYIHONlfmGzOdcFoTGyEAtkJXyQGz FYpOEQTywvkWIggJQZUpYfQsYzIAnQNhnhQmfHbK","addis_ababa","TLvqvaOKFguouI hA","hagadera","hPIVFJlJEDcTeOYH","no","no"," ywubsDxyOvtvlxZRX wIuPSPmJVljFF vrvtKeMqEgnqBNvPVQkjomADOvFvdIukZvLbWtaOVMwSFcsXHy","2019-06-04T10:54:50+0300","2019-06-04T12:50:06+0300",NA,NA,19,"dontknow","arrival_ags","family","family","elsewhere_somalia","next_six_months","bakool","baki","c","vcspFkMbGQhCHaOStnQTVfCLpW","no",20,20,24,18,22,17,"other","boSkczUh YcHpkFVavfTjTmuzSxOXxebJVXduTkEJhOnjMgDvw",23,18,20,22,19,22,19,19,38,41,79,44,21,21,19,20,40,41,81,42,"some","121_180","yes","no_interest","curriculum","registration","cfkoBGlcYZbIwCKQTXfbz","other","IcDwYyYYvnVrzhjXFr mHIVMTmjTdGFHAaAaFJqAxBxe","69a2e85b-1eaf-4b474a-979c93-17ac830d45f2"
