list_name,name,label,label::Hausa,State,LGA,Ward,livecope,,,,
yncamp,yes,Yes,,,,,,,,,
yncamp,no,No,,,,,,,,,
yncamp,no_camp,HH does not live in formal camp,,,,,,,,,
,,,,,,,,,,,
yndk,yes,Yes,Eh,,,,,,,,
yndk,no,No,A'a,,,,,,,,
yndk,98,No response,Ba amsa,,,,,,,,
yndk,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
yns,1,"Yes, always","Eh, kullum",,,,,,,,
yns,2,"Yes, sometimes",Eh wani locaki,,,,,,,,
yns,3,No,A'a,,,,,,,,
yns,98,No response,Ba amsa,,,,,,,,
yns,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
yn,yes,Yes,Eh,,,,,,,,
yn,no,No,A'a,,,,,,,,
,,,,,,,,,,,
consenting,consent,"Yes, agrees to interview","Eh, na yarda azanta dani",,,,,,,,
consenting,no_consent,"No, refuses to interview",Ah ah banyarda ba,,,,,,,,
,,,,,,,,,,,
group,idp,Internally Displaced Persons (IDPs),Yan gudun hijira ne (IDPs),,,,,,,,
group,non_displaced,Non-displaced,Ba yen gudun hijira ba ne (Mazauna ne),,,,,,,,
group,returnee,Returnees,Mun yi hijira mun komo,,,,,,,,
,,,,,,,,,,,
group_status,idp,Household displaced since January 2009 and currently is not living in their village/area of origin,"Mun yi gudun hijira tun a watan janairu 2009, kuma har yanzu bamu koma garin mu na asali ba",,,,,,,,
group_status,non_displaced,Household has never been displaced from their village/area of origin since January 2009,Ba mu taba gudun hijira ba tun daga janairu 2009,,,,,,,,
group_status,returnee,Household displaced since January 2009 but has since returned and currently is in their village/area of origin,"Mun yi gudun hijira a watan janairu 2009, amma yanzu mun koma garin mu na asali ba",,,,,,,,
,,,,,,,,,,,
gender,male,Male,Namiji,,,,,,,,
gender,female,Female,Mace,,,,,,,,
,,,,,,,,,,,
marital_status,single,Single,"Da aure, kuma iyali na daya 1",,,,,,,,
marital_status,married,Married,"Da aure, kuma iyali na sama daya 1 ne",,,,,,,,
marital_status,divorced,Divorced,Ban yi aure ba,,,,,,,,
marital_status,widowed,Widowed,An rabu,,,,,,,,
marital_status,98,No response,,,,,,,,,
marital_status,99,Don't know,,,,,,,,,
,,,,,,,,,,,
languages,bachama,Bachama,Bura,,,,,,,,
languages,bura,Bura,Turanci,,,,,,,,
languages,english,English,Fulani,,,,,,,,
languages,fulani,Fulani,,,,,,,,,
languages,fulfulde,Fulfulde,Glava,,,,,,,,
languages,gamardu,Gamardu,Guduf,,,,,,,,
languages,glavda,Glavda,Gwoza,,,,,,,,
languages,hausa,Hausa,Hausa,,,,,,,,
