,id_sampl,Survey,strata_id,OBJECTID_12,OBJECTID,ID,Dataset,Settlement,PopGroup,Latitude,Longitude,TotalPop,TotalHH,ADM3_EN,ADM3_PCODE,INEC_code,eHealth_co,ADM3_REF,ADM3ALT1EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,psu_id,pop_numbers,SumDist,proba,survey_buffer
1,id_10036,5,Maiduguri,10036,10069,20036,IOM_DTM_Location_XXVI,NIYO STREET,IDP,11.83562,13.157,312,52,Bulabulin,NG008021003,NGA008021103,12403,Bulabulin,Bulablin,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,NIYO STREET,52,155544,0.000334311,5
2,id_10055,5,Maiduguri,10055,10084,20051,IOM_DTM_Location_XXVI,MAMMAN SHUWA,IDP,11.84186,13.17155,2608,463,Gwange I,NG008021006,NGA008021106,12407,Gwange I,Gwange  I,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,MAMMAN SHUWA,463,155544,0.00297665,5
3,id_10077,5,Maiduguri,10077,10102,20069,IOM_DTM_Location_XXVI,SHUWARI,IDP,11.83786,13.11168,6083,1087,Lamisula,NG008021010,NGA008021110,12410,Lamisula,Lamisula/Jabba Mari,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,SHUWARI,1087,155544,0.006988376,5
4,id_10095,5,Maiduguri,10095,10119,20086,IOM_DTM_Location_XXVI,KALWA,IDP,11.84778,13.15222,1912,340,Mafoni,NG008021012,NGA008021112,12412,Mafoni,Mafoni,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,KALWA,340,155544,0.002185877,5
5,id_10128,5,Maiduguri,10128,10125,20092,IOM_DTM_Location_XXVI,MODUGANARI,IDP,11.82528,13.11872,6357,1081,Maisandari,NG008021013,NGA008021113,12413,Maisandari,Maisandari,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,MODUGANARI,1081,155544,0.006949802,5
6,id_1013,5,Bursari,1013,1126,16926,VTS_Dataset_Extract_25052019,Juluri,Non-Displaced,12.89539167,11.61323802,1146,143,Juluri Damnawa,NG036002007,NGA036002207,70210,Juluri Damnawa,Damnawa/Juluri,Bursari,NG036002,Yobe,NG036,Nigeria,NG,Juluri,143,16315,0.00876494,5
7,id_10132,5,Maiduguri,10132,10130,20097,IOM_DTM_Location_XXVI,ABUJA TALAKAWA,IDP,11.81758,13.11608,5855,1377,Maisandari,NG008021013,NGA008021113,12413,Maisandari,Maisandari,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,ABUJA TALAKAWA,1377,155544,0.0088528,5
8,id_10154,5,Maiduguri,10154,10150,20118,IOM_DTM_Location_XXVI,WAZIRIRI,IDP,11.84569,13.16033,1692,334,Shehuri South,NG008021015,NGA008021115,12415,Shehuri South,Shehuri South,Maiduguri,NG008021,Borno,NG008,Nigeria,NG,WAZIRIRI,334,155544,0.002147302,5
9,id_10192,5,Maiha,10192,10353,17363,VTS_Dataset_Extract_25052019,Nassarawo,Non-Displaced,10.20618455,13.12454354,1424,199,Humbutudi,NG002011002,NGA002011102,ADSMAH02,Humbutudi,Humbutudi,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Nassarawo,199,8154,0.0244052,5
10,id_10193,5,Maiha,10193,10355,18080,IOM_DTM_Returns_XXVI,HAMBUTUDI,Returnees,10.12414,13.15156,1200,169,Humbutudi,NG002011002,NGA002011102,ADSMAH02,Humbutudi,Humbutudi,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,HAMBUTUDI,169,8154,0.020726024,5
11,id_10194,10,Maiha,10194,10356,18081,IOM_DTM_Returns_XXVI,KILANGE,Returnees,10.12371,13.15356,3861,459,Humbutudi,NG002011002,NGA002011102,ADSMAH02,Humbutudi,Humbutudi,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,KILANGE,459,8154,0.056291391,10
12,id_10195,5,Maiha,10195,10364,19116,IOM_DTM_Location_XXVI,KILANGE,IDP,10.12371,13.15356,386,52,Humbutudi,NG002011002,NGA002011102,ADSMAH02,Humbutudi,Humbutudi,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,KILANGE,52,8154,0.006377238,5
13,id_10207,5,Maiha,10207,10233,8284,VTS_Dataset_Extract_25052019,HA_27,Non-Displaced,9.64256945,13.12157986,92,13,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,HA_27,13,8154,0.00159431,5
